      No    Time           Source                   Destination           Protocol Length   Info
      1 0.000000000    10.0.2.4              34.107.221.82         TCP      54     49540 → 80 [ACK] Seq=1 Ack=1 Win=64020 Len=0
      2 0.000805850    34.107.221.82         10.0.2.4              TCP      60     [TCP ACKed unseen segment] 80 → 49540 [ACK] Seq=1 Ack=2 Win=32472 Len=0
      3 0.000000000    10.0.2.4              34.107.221.82         TCP      56     [TCP Dup ACK 1#1] 49540 → 80 [ACK] Seq=1 Ack=1 Win=64020 Len=0
      4 0.000805850    34.107.221.82         10.0.2.4              TCP      62     [TCP Dup ACK 2#1] [TCP ACKed unseen segment] 80 → 49540 [ACK] Seq=1 Ack=2 Win=32472 Len=0
      5 0.255298184    10.0.2.4              34.107.221.82         TCP      54     49542 → 80 [ACK] Seq=1 Ack=1 Win=64020 Len=0
      6 0.256085271    34.107.221.82         10.0.2.4              TCP      60     [TCP ACKed unseen segment] 80 → 49542 [ACK] Seq=1 Ack=2 Win=32467 Len=0
      7 0.255298184    10.0.2.4              34.107.221.82         TCP      56     [TCP Dup ACK 5#1] 49542 → 80 [ACK] Seq=1 Ack=1 Win=64020 Len=0
      8 0.256085271    34.107.221.82         10.0.2.4              TCP      62     [TCP Dup ACK 6#1] [TCP ACKed unseen segment] 80 → 49542 [ACK] Seq=1 Ack=2 Win=32467 Len=0
      9 0.377619127    10.0.2.4              54.186.128.121        TLSv1.2  85     Encrypted Alert
     10 0.377751822    10.0.2.4              54.186.128.121        TCP      54     60118 → 443 [FIN, ACK] Seq=32 Ack=1 Win=62780 Len=0
     11 0.378551669    54.186.128.121        10.0.2.4              TCP      60     443 → 60118 [ACK] Seq=1 Ack=33 Win=32093 Len=0
     12 0.377619127    10.0.2.4              54.186.128.121        TLSv1.2  87     [TCP Spurious Retransmission] , Encrypted Alert
     13 0.377751822    10.0.2.4              54.186.128.121        TCP      56     [TCP Out-Of-Order] 60118 → 443 [FIN, ACK] Seq=32 Ack=1 Win=62780 Len=0
     14 0.378551669    54.186.128.121        10.0.2.4              TCP      62     [TCP Dup ACK 11#1] 443 → 60118 [ACK] Seq=1 Ack=33 Win=32093 Len=0
     15 0.644022338    54.186.128.121        10.0.2.4              TLSv1.2  85     Encrypted Alert
     16 0.644023033    54.186.128.121        10.0.2.4              TCP      60     443 → 60118 [FIN, ACK] Seq=32 Ack=33 Win=32093 Len=0
     17 0.644131490    10.0.2.4              54.186.128.121        TCP      54     60118 → 443 [RST] Seq=33 Win=0 Len=0
     18 0.644222470    10.0.2.4              54.186.128.121        TCP      54     60118 → 443 [RST] Seq=33 Win=0 Len=0
     19 0.644022338    54.186.128.121        10.0.2.4              TCP      87     [TCP Retransmission] 443 → 60118 [PSH, ACK] Seq=1 Ack=33 Win=32093 Len=31
     20 0.644023033    54.186.128.121        10.0.2.4              TCP      62     [TCP Out-Of-Order] 443 → 60118 [FIN, ACK] Seq=32 Ack=33 Win=32093 Len=0
     21 0.644131490    10.0.2.4              54.186.128.121        TCP      56     60118 → 443 [RST] Seq=33 Win=0 Len=0
     22 0.644222470    10.0.2.4              54.186.128.121        TCP      56     60118 → 443 [RST] Seq=33 Win=0 Len=0
     23 1.022727697    10.0.2.4              142.250.185.3         TCP      54     54712 → 80 [ACK] Seq=1 Ack=1 Win=63882 Len=0
     24 1.023763494    142.250.185.3         10.0.2.4              TCP      60     [TCP ACKed unseen segment] 80 → 54712 [ACK] Seq=1 Ack=2 Win=32386 Len=0
     25 1.022727697    10.0.2.4              142.250.185.3         TCP      56     [TCP Dup ACK 23#1] 54712 → 80 [ACK] Seq=1 Ack=1 Win=63882 Len=0
