      No    Time           Source                   Destination           Protocol Length   Info
      1 0.000000000    Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
      2 2.004876549    Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
      3 4.009779217    Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
      4 5.653805131    Cisco_d4:1c:04        Cisco_d4:1c:04        LOOP     60     Reply
      5 6.014736571    Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
      6 8.019558504    Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
      7 10.024524308   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
      8 12.029341912   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
      9 12.744058559   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=1/256, ttl=64 (reply in 10)
     10 12.744224569   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=1/256, ttl=64 (request in 9)
     11 13.756469871   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=2/512, ttl=64 (reply in 12)
     12 13.756604941   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=2/512, ttl=64 (request in 11)
     13 14.034500543   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
     14 14.780464764   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=3/768, ttl=64 (reply in 15)
     15 14.780598717   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=3/768, ttl=64 (request in 14)
     16 15.661476574   Cisco_d4:1c:04        Cisco_d4:1c:04        LOOP     60     Reply
     17 15.804462590   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=4/1024, ttl=64 (reply in 18)
     18 15.804594797   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=4/1024, ttl=64 (request in 17)
